Time (s), Acceleration x (m/s^2), Acceleration y (m/s^2), Acceleration z (m/s^2), Angular velocity p (rad/s), Angular velocity q (rad/s), Angular velocity r (rad/s), Magnetic field x (muT), Magnetic field y (muT), Magnetic field z (muT), Roll angle phi (deg), Pitch angle theta (deg), Yaw angle psi (deg), GPS Latitude (DDMM.MMMM), GPS Longiude (DDMM.MMMM), GPS Altitude (cm), GPS Speed (knots), GPS Heading (deg), GPS Number of Satellites
0.081, -0.7845, 0.1177, 10.4343, -0.2068, 1.6003, -0.5962, -28.3636, -19.0909, -26.4286, 0.4197, 4.3986, 149.8708, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.108, -0.8238, 0.0785, 10.3951, 0.0124, 0.9001, 0.0050, -28.3636, -19.0909, -26.4286, 0.4324, 4.5308, 149.9707, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.128, -0.8238, 0.1177, 10.4735, 0.0101, 0.0338, 0.1252, -28.3636, -19.0909, -26.4286, 0.6437, 4.4969, 150.2026, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.147, -0.8238, 0.1177, 10.5127, -0.0150, 0.2130, -0.0254, -28.4545, -19.0000, -26.7347, 0.6413, 4.4802, 150.4245, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.172, -0.7845, 0.0785, 10.5127, -0.0024, 0.0909, 0.0079, -28.4545, -19.0000, -26.7347, 0.4324, 4.7456, 150.3399, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.191, -0.7453, 0.1177, 10.4343, -0.0014, 0.0732, -0.0147, -28.4545, -19.0000, -26.7347, 0.6511, 4.9788, 150.7489, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.210, -0.8630, 0.1961, 10.5520, -0.0035, 0.0930, -0.0087, -28.5455, -18.9091, -27.0408, 0.2154, 4.5140, 150.1595, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.229, -0.8630, 0.0785, 10.5127, -0.0034, 0.0845, -0.0111, -28.5455, -18.9091, -27.0408, 0.4276, 4.6927, 150.5324, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.254, -0.8630, 0.0785, 10.4735, -0.0021, 0.0858, -0.0107, -28.5455, -18.9091, -27.0408, 0.6319, 4.4145, 150.6052, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.273, -0.8630, 0.0392, 10.4343, -0.0035, 0.0880, -0.0111, -28.5455, -18.9091, -27.0408, 0.2130, 4.4638, 149.9647, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
